143,FPH,First Phil. Holdings Corp.,58.5,58.5,66.0,58.4,2.433,2.20 (3.76%),2024-12-19 23:04:15
144,FPI,"Forum Pacific, Inc.",0.23,0.23,0.295,0.19,-7.419,,2024-12-19 23:04:15
145,FRUIT,"Fruitas Holdings, Inc.",0.6,0.65,1.04,0.6,,0.01 (1.67%),2024-12-19 23:04:15
146,GEO,"GEOGRACE Resources Philippines, Inc.",0.105,0.105,0.18,0.026,16.406,,2024-12-19 23:04:15
147,GERI,"Global-Estate Resorts, Inc.",0.6,0.6,0.95,0.54,4.412,0.01 (1.67%),2024-12-19 23:04:15
148,GLO,"Globe Telecom, Inc.",2048.0,2030.0,2472.0,1698.0,12.568,100.00 (4.88%),2024-12-19 23:04:15
149,GLOPA,"Globe Telecom, Inc - Preferred ''A''",5.0,5.0,5.0,5.0,,0.32 (6.40%),2024-12-19 23:04:15
150,GLOPP,"Globe Telecom, Inc. - Perpetual Pref.",505.5,505.5,520.0,500.0,,,2024-12-19 23:04:15
151,GMA7,"GMA Network, Inc.",6.43,6.5,9.37,6.2,11.929,1.10 (17.11%),2024-12-19 23:04:15
152,GMAP,"GMA Holdings, Inc. ''PDR''",6.0,6.0,9.0,6.0,,,2024-12-19 23:04:15
153,GPH,Grand Plaza Hotel Corporation,7.4,7.4,12.58,5.91,,,2024-12-19 23:04:15
154,GREEN,"Greenergy Holdings, Inc.",0.189,0.189,0.255,0.186,0.107,,2024-12-19 23:04:15
155,GSMI,Ginebra San Miguel Inc.,274.6,274.8,280.0,155.6,48.43,10.00 (3.64%),2024-12-19 23:04:15
156,GTCAP,"GT Capital Holdings, Inc.",613.0,623.0,743.0,553.0,6.692,3.00 (0.49%),2024-12-19 23:04:15
157,GTPPA,GT Capital Non-Voting Perpetual Pref ''A'',990.0,990.0,1000.0,950.0,,46.30 (4.68%),2024-12-19 23:04:15
158,GTPPB,GT Capital Non-Voting Perpetual Pref ''B'',970.0,975.0,995.0,930.0,,50.95 (5.25%),2024-12-19 23:04:15
159,HI,"House of Investments, Inc.",3.4,3.5,4.3,3.1,2.777,0.05 (1.47%),2024-12-19 23:04:15
160,HOME,AllHome Corp.,0.62,0.61,1.28,0.58,,0.07 (11.29%),2024-12-19 23:04:15
161,HOUSE,"8990 Holdings, Inc.",8.99,8.99,10.8,8.0,,,2024-12-19 23:04:15
162,HTI,,1.05,1.05,1.18,0.92,,,2024-12-19 23:04:15
163,HVN,"Golden MV Holdings, Inc.",2246.0,2246.0,2598.0,802.5,,,2024-12-19 23:04:15
164,I,"I-Remit, Inc.",0.235,0.235,0.5,0.2,25.824,,2024-12-19 23:04:15
165,ICT,"Int'l Container Terminal Services, Inc.",385.0,389.0,446.0,234.2,371.644,10.00 (2.60%),2024-12-19 23:04:15
166,IDC,Italpinas Development Corporation,1.29,1.26,1.55,0.61,,,2024-12-19 23:04:15
167,IMI,"Integrated Micro-Electronics, Inc.",1.55,1.62,3.26,1.5,1.416,,2024-12-19 23:04:15
168,IMP,"Imperial Resources, Inc.",0.65,0.65,0.83,0.51,1.806,,2024-12-19 23:04:15
169,INFRA,,0.28,0.28,0.72,0.25,,,2024-12-19 23:04:15
170,ION,"Ionics, Inc.",0.8,0.81,1.42,0.7,3.358,0.10 (12.50%),2024-12-19 23:04:15
171,IPM,"IPM Holdings, Inc.",2.49,2.23,4.5,1.95,,,2024-12-19 23:04:15
172,IPO,"iPeople, Inc.",6.21,6.26,8.4,5.5,23.068,0.19 (3.06%),2024-12-19 23:04:15
173,IS,"Island Information and Technology, Inc.",0.144,0.144,0.295,0.053,"11,669.751",,2024-12-19 23:04:15
174,JAS,"Jackstones, Inc.",1.13,1.13,1.83,0.75,,,2024-12-19 23:04:15
175,JFC,Jollibee Foods Corporation,256.0,260.0,279.6,211.0,43.486,2.30 (0.90%),2024-12-19 23:04:15
176,JFCPA,,995.0,995.0,1009.0,925.0,,,2024-12-19 23:04:15
177,JFCPB,,970.0,950.0,1000.0,900.5,,,2024-12-19 23:04:15
178,JGS,"JG Summit Holdings, Inc.",19.72,19.72,43.25,19.52,4.513,0.40 (2.03%),2024-12-19 23:04:15
179,JOH,Jolliville Holdings Corporation,6.79,6.79,8.98,4.28,20.613,,2024-12-19 23:04:15
